Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
2021-08-30,37239.5489,27003.5489,11030.5489,26209.00,15973.00
2021-08-31,39976.9981,17530.9981,7068.9981,32908.00,10462.00
2021-09-01,39612.0606,14210.0606,5955.0606,33657.00,8255.00
2021-09-02,28135.8544,15714.8544,8882.8544,19253.00,6832.00
2021-09-03,39289.6264,11651.6264,5910.6264,33379.00,5741.00
2021-09-04,15825.5625,14164.5625,5604.5625,10221.00,8560.00
2021-09-05,40424.9036,12016.9036,5103.9036,35321.00,6913.00
2021-09-06,44049.4469,22326.4469,12646.4469,31403.00,9680.00
2021-09-07,45454.7228,16858.7228,10519.7228,34935.00,6339.00
2021-09-08,43917.9011,14308.9011,6499.9011,37418.00,7809.00
2021-09-09,42741.1883,14736.1883,5508.1883,37233.00,9228.00
2021-09-10,38291.085 ,12908.085 ,7075.085 ,31216.00,5833.00
2021-09-11,45452.1125,13202.1125,7172.1125,38280.00,6030.00
2021-09-12,45592.0158,15317.0158,7373.0158,38219.00,7944.00
2021-09-13,27039.5325,14266.5325,5445.5325,21594.00,8821.00
2021-09-14,37962.9075,22669.9075,9240.9075,28722.00,13429.00
2021-09-15,44503.0528,20409.0528,9871.0528,34632.00,10538.00
2021-09-16,45023.9272,18391.9272,10667.9272,34356.00,7724.00
2021-09-17,48417.5722,18751.5722,9755.5722,38662.00,8996.00
2021-09-18,17068.1933,11063.1933,5110.1933,11958.00,5953.00
2021-09-19,50089.0311,18649.0311,8677.0311,41412.00,9972.00
2021-09-20,49659.6861,15109.6861,8180.6861,41479.00,6929.00
2021-09-21,46884.1889,16210.1889,8171.1889,38713.00,8039.00
2021-09-22,51528.405 ,18135.405 ,9082.405 ,42446.00,9053.00
2021-09-23,50692.8322,13984.8322,6941.8322,43751.00,7043.00
2021-09-24,48782.7672,14221.7672,8225.7672,40557.00,5996.00
2021-09-25,49964.47,13691.47,6475.47,43489.00,7216.00
2021-09-26,43024.3061,19634.3061,6481.3061,36543.00,13153.00
2021-09-27,31611.7619,20443.7619,7257.7619,24354.00,13186.00
2021-09-28,48246.3492,15545.3492,8398.3492,39848.00,7147.00
2021-09-29,18904.4842,15681.4842,7586.4842,11318.00,8095.00
2021-09-30,41015.9636,13920.9636,6430.9636,34585.00,7490.00
2021-10-01,36273.24,13268.24,5377.24,30896.00,7891.00
2021-10-02,37594.1756,13123.1756,7274.1756,30320.00,5849.00
2021-10-03,48219.5922,12755.5922,7478.5922,40741.00,5277.00
2021-10-04,52321.4158,13886.4158,8206.4158,44115.00,5680.00
2021-10-05,59174.3442,11900.3442,7361.3442,51813.00,4539.00
2021-10-06,57667.6658,13576.6658,8855.6658,48812.00,4721.00
2021-10-07,48411.5967,11553.5967,6538.5967,41873.00,5015.00
2021-10-08,46170.0831,12546.0831,6533.0831,39637.00,6013.00
2021-10-09,54226.5617,12134.5617,7497.5617,46729.00,4637.00
2021-10-10,31821.2464,15865.2464,6361.2464,25460.00,9504.00
2021-10-11,16207.7028,16051.7028,5957.7028,10250.00,10094.00
2021-10-12,20541.7181,20766.7181,8004.7181,12537.00,12762.00
2021-10-13,18468.6278,15671.6278,6401.6278,12067.00,9270.00
2021-10-14,40770.4228,12770.4228,7169.4228,33601.00,5601.00
2021-10-15,45220.0039,11993.0039,6551.0039,38669.00,5442.00
2021-10-16,50448.6694,17441.6694,9679.6694,40769.00,7762.00
2021-10-17,61928.1581,12253.1581,6655.1581,55273.00,5598.00
2021-10-18,61712.9219,14385.9219,6963.9219,54749.00,7422.00
2021-10-19,47022.5789,14159.5789,9010.5789,38012.00,5149.00
2021-10-20,54259.6644,11925.6644,5948.6644,48311.00,5977.00
2021-10-21,52463.3194,14529.3194,8320.3194,44143.00,6209.00
2021-10-22,50205.2319,14399.2319,8611.2319,41594.00,5788.00
2021-10-23,60488.2428,13132.2428,8220.2428,52268.00,4912.00
2021-10-24,55240.7031,9418.7031,5406.7031,49834.00,4012.00
2021-10-25,62732.6881,11707.6881,5892.6881,56840.00,5815.00
2021-10-26,53522.1925,13160.1925,7153.1925,46369.00,6007.00
2021-10-27,60344.5444,12706.5444,8479.5444,51865.00,4227.00
2021-10-28,51570.5947,11627.5947,6828.5947,44742.00,4799.00
2021-10-29,50689.5306,17684.5306,10873.5306,39816.00,6811.00
2021-10-30,46534.4853,10504.4853,4927.4853,41607.00,5577.00
2021-10-31,47703.3908,11168.3908,7235.3908,40468.00,3933.00
2021-11-01,46748.5339,11201.5339,6737.5339,40011.00,4464.00
2021-11-02,51226.31,12562.31,8205.31,43021.00,4357.00
2021-11-03,56138.5681,10719.5681,6606.5681,49532.00,4113.00
2021-11-04,15807.6561,9015.6561,3854.6561,11953.00,5161.00
2021-11-05,23710.1442,10527.1442,3675.1442,20035.00,6852.00
2021-11-06,62915.2244,13607.2244,8833.2244,54082.00,4774.00
2021-11-07,20348.2253,13126.2253,6163.2253,14185.00,6963.00
2021-11-08,43670.0539,10081.0539,5716.0539,37954.00,4365.00
2021-11-09,47438.9778,11943.9778,6246.9778,41192.00,5697.00
2021-11-10,12345.1108,9985.1108,4775.1108,7570.00,5210.00
2021-11-11,23384.6789,13378.6789,5650.6789,17734.00,7728.00
2021-11-12,34614.4475,13021.4475,5739.4475,28875.00,7282.00
2021-11-13,54203.1847,17960.1847,9853.1847,44350.00,8107.00
2021-11-14,49358.5386,20028.5386,12163.5386,37195.00,7865.00
2021-11-15,65565.7439,16341.7439,10493.7439,55072.00,5848.00
2021-11-16,64229.0883,14519.0883,8623.0883,55606.00,5896.00
2021-11-17,51996.9642,16392.9642,10965.9642,41031.00,5427.00
2021-11-18,64717.0853,13686.0853,8523.0853,56194.00,5163.00
2021-11-19,28423.5961,11808.5961,5303.5961,23120.00,6505.00
2021-11-20,23297.4225,11503.4225,7218.4225,16079.00,4285.00
2021-11-21,14900.3286,14716.3286,5507.3286,9393.00,9209.00
2021-11-22,42974.6039,14169.6039,9370.6039,33604.00,4799.00
2021-11-23,37976.8653,11548.8653,7001.8653,30975.00,4547.00
2021-11-24,40937.0217,13695.0217,7953.0217,32984.00,5742.00
2021-11-25,24021.9003,11572.9003,4572.9003,19449.00,7000.00
2021-11-26,21016.7869,15152.7869,7654.7869,13362.00,7498.00
2021-11-27,32722.0469,22331.0469,10548.0469,22174.00,11783.00
2021-11-28,47106.8514,15020.8514,8907.8514,38199.00,6113.00
2021-11-29,45532.0106,10419.0106,6605.0106,38927.00,3814.00
2021-11-30,24178.3161,13473.3161,5975.3161,18203.00,7498.00
2021-12-01,45365.5197,13712.5197,9283.5197,36082.00,4429.00
2021-12-02,63006.5872,14819.5872,8991.5872,54015.00,5828.00
2021-12-03,50012.0367,10913.0367,5150.0367,44862.00,5763.00
2021-12-04,36041.3072,12619.3072,6926.3072,29115.00,5693.00
2021-12-05,25984.0575,10286.0575,5302.0575,20682.00,4984.00
2021-12-06,19561.3603,15010.3603,8296.3603,11265.00,6714.00
2021-12-07,44057.4075,9933.4075,5171.4075,38886.00,4762.00
2021-12-08,21690.3242,10830.3242,3432.3242,18258.00,7398.00
2021-12-09,50897.2125,12735.2125,6497.2125,44400.00,6238.00
2021-12-10,26155.8731,11837.8731,5926.8731,20229.00,5911.00
2021-12-11,57189.5022,13685.5022,8031.5022,49158.00,5654.00
2021-12-12,70094.73,17222.73,10222.73,59872.00,7000.00
2021-12-13,70340.1772,10290.1772,5850.1772,64490.00,4440.00
2021-12-14,66839.4222,12828.4222,7586.4222,59253.00,5242.00
